name,rating,price,zip_code,categories,cuisine,borough
Tonchin,4.0,Not Available,11249,"Ramen, Salad, Seafood",Japanese,"Brooklyn, NY"
Warude Crown Heights,4.0,Not Available,11216,"Ramen, Salad, Japanese Curry",Japanese,"Brooklyn, NY"
The Garden At Ditmas,4.5,Not Available,11218,Ramen,Japanese,"Brooklyn, NY"
Ako,4.0,$$,11211,"Sushi Bars, Japanese, Wine Bars",Japanese,"Brooklyn, NY"
Rule of Thirds,4.0,Not Available,11222,"Japanese, Breakfast & Brunch, Cocktail Bars",Japanese,"Brooklyn, NY"
Izakaya Ajimi,4.5,$$,11214,"Izakaya, Ramen",Japanese,"Brooklyn, NY"
Maison Kintaro,4.5,Not Available,10011,Japanese,Japanese,"Brooklyn, NY"
750 Myrtle Diner,4.5,$$,11205,"Tapas Bars, Izakaya",Japanese,"Brooklyn, NY"
Menya & Izakaya,4.0,$$,11215,"Ramen, Noodles",Japanese,"Brooklyn, NY"
Uotora,4.5,$$$$,11216,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY"
Sushi Katsuei,4.0,$$$,11215,"Sushi Bars, Japanese, Seafood",Japanese,"Brooklyn, NY"
Chuko,4.0,$$,11238,"Asian Fusion, Ramen",Japanese,"Brooklyn, NY"
Karasu,4.0,$$$,11217,"Japanese, Cocktail Bars",Japanese,"Brooklyn, NY"
Omatoya,5.0,Not Available,11378,"Sushi Bars, Japanese",Japanese,"Brooklyn, NY"
Geido,4.5,$$,11217,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY"
Wakuwaku,3.5,Not Available,11232,Izakaya,Japanese,"Brooklyn, NY"
Kimura,4.5,$$$,10003,"Japanese, Hot Pot, Sushi Bars",Japanese,"Brooklyn, NY"
Raku,4.5,$$,10012,"Japanese, Noodles",Japanese,"Brooklyn, NY"
ACRE,4.5,$$,11222,"Breakfast & Brunch, Japanese, Coffee & Tea",Japanese,"Brooklyn, NY"
Mirakuya - Brooklyn,4.0,$,11206,Japanese,Japanese,"Brooklyn, NY"
Ume Williamsburg,4.0,$$$$,11249,Sushi Bars,Japanese,"Brooklyn, NY"
Nami Nori,4.5,$$$,11211,"Sushi Bars, Japanese, Gluten-Free",Japanese,"Brooklyn, NY"
To Date Japanese Food,4.5,$$,11220,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY"
Bushniwa,4.0,$$,11206,"Japanese, Sushi Bars, Asian Fusion",Japanese,"Brooklyn, NY"
Lingo,4.5,Not Available,11222,"New American, Japanese",Japanese,"Brooklyn, NY"
Kosan Asian Fusion,4.0,Not Available,11235,"Asian Fusion, Sushi Bars, Poke",Japanese,"Brooklyn, NY"
Kanji Sushi Hibachi - Ridgewood,4.5,Not Available,11385,"Sushi Bars, Japanese, Asian Fusion",Japanese,"Brooklyn, NY"
Chavela's,4.0,$$,11238,"Mexican, Bars",Mexican,"Brooklyn, NY"
Cruz Del Sur,4.5,$$,11238,"Tacos, Cocktail Bars",Mexican,"Brooklyn, NY"
Casa Azul,4.5,$$,11215,"Mexican, Cocktail Bars",Mexican,"Brooklyn, NY"
Chela Park Slope,4.5,$$,11215,"Mexican, Cocktail Bars, Breakfast & Brunch",Mexican,"Brooklyn, NY"
